index,x,f(x)
1,-10.0,9.9
2,-9.9,24.007735979665853
3,-9.8,29.801748742132336
4,-9.7,34.21349156228644
5,-9.6,37.904
6,-9.5,41.129989991992
7,-9.4,44.023444218463936
8,-9.3,46.66295189897819
9,-9.2,49.09983588453086
10,-9.1,51.36982488325577
11,-9.0,53.49898943540673
12,-8.9,55.50705246071198
13,-8.8,57.40936834815166
14,-8.7,59.21817214248421
15,-8.6,60.9434032886923
16,-8.5,62.59326876426369
17,-8.4,64.17463986500215
18,-8.3,65.69333906953736
19,-8.2,67.15435208501674
20,-8.1,68.561987645583
21,-8.0,69.92
22,-7.9,71.23168422387732
23,-7.8,72.49995138864807
24,-7.7,73.72738856379708
25,-7.6,74.9163072370877
26,-7.5,76.06878277661477
27,-7.4,77.18668688320093
28,-7.3,78.2717144993671
29,-7.2,79.32540629158987
30,-7.1,80.34916756583301
31,-7.0,81.3442842854285
32,-6.9,82.31193671679027
33,-6.8,83.25321111929345
34,-6.7,84.16910981186986
35,-6.6,85.06055988397179
36,-6.5,85.92842076785331
37,-6.4,86.77349084919419
38,-6.3,87.5965132614157
39,-6.2,88.39818098373212
40,-6.1,89.17914134263013
41,-6.0,89.94
42,-5.9,90.6813244977378
43,-5.8,91.4036474176652
44,-5.7,92.10746920658589
45,-5.6,92.79326070883192
46,-5.5,93.46146544245032
47,-5.4,94.11250165000324
48,-5.3,94.74676415061542
49,-5.2,95.36462601625048
50,-5.1,95.96644009211155
51,-5.0,96.55254037844387
52,-4.9,97.12324328879002
53,-4.8,97.67884879784523
54,-4.7,98.21964149042944
55,-4.6,98.74589152169246
56,-4.5,99.25785549745875
57,-4.4,99.7557772825746
58,-4.3,100.23988874421332
59,-4.2,100.71041043630741
60,-4.1,101.16755223058856
61,-4.0,101.61151389911679
62,-3.9,102.0424856526544
63,-3.8,102.46064863877743
64,-3.7,102.86617540321213
65,-3.6,103.2592303175248
66,-3.5,103.63996997597597
67,-3.4,104.00854356406997
68,-3.3,104.36509320108114
69,-3.2,104.70975425861609
70,-3.1,105.04265565707462
71,-3.0,105.36392014169456
72,-2.9,105.67366453970861
73,-2.8,105.972
74,-2.7,106.25903221651623
75,-2.6,106.5348616365865
76,-2.5,106.79958365518542
77,-2.4,107.05328879609277
78,-2.3,107.29606288081489
79,-2.2,107.52798718605759
80,-2.1,107.74913859047147
81,-2.0,107.95958971132713
82,-1.9,108.15940903172142
83,-1.8,108.3486610188635
84,-1.7,108.52740623394105
85,-1.6,108.69570143402453
86,-1.5,108.85359966642595
87,-1.4,109.00115035589252
88,-1.3,109.13839938498094
89,-1.2,109.26538916792686
90,-1.1,109.3821587182941
91,-1.0,109.48874371066199
92,-0.9,109.58517653658271
93,-0.8,109.67148635501691
94,-0.7,109.74769913743411
95,-0.6,109.81383770774224
96,-0.5,109.8699217771909
97,-0.4,109.91596797437437
98,-0.3,109.95198987044118
99,-0.2,109.9779979995999
100,-0.1,109.99399987499375
101,0.0,110.0
102,0.1,109.99599987499376
103,0.2,109.9819979995999
104,0.3,109.95798987044118
105,0.4,109.92396797437438
106,0.5,109.87992177719089
107,0.6,109.82583770774224
108,0.7,109.76169913743412
109,0.8,109.6874863550169
110,0.9,109.60317653658271
111,1.0,109.508743710662
112,1.1,109.40415871829408
113,1.2,109.28938916792686
114,1.3,109.16439938498095
115,1.4,109.02915035589251
116,1.5,108.88359966642595
117,1.6,108.72770143402454
118,1.7,108.56140623394104
119,1.8,108.3846610188635
120,1.9,108.19740903172143
121,2.0,107.99958971132712
122,2.1,107.79113859047148
123,2.2,107.5719871860576
124,2.3,107.34206288081488
125,2.4,107.10128879609277
126,2.5,106.84958365518543
127,2.6,106.58686163658649
128,2.7,106.31303221651623
129,2.8,106.028
130,2.9,105.7316645397086
131,3.0,105.42392014169457
132,3.1,105.10465565707463
133,3.2,104.77375425861608
134,3.3,104.43109320108114
135,3.4,104.07654356406998
136,3.5,103.70996997597597
137,3.6,103.3312303175248
138,3.7,102.94017540321214
139,3.8,102.53664863877742
140,3.9,102.12048565265441
141,4.0,101.6915138991168
142,4.1,101.24955223058855
143,4.2,100.79441043630742
144,4.3,100.32588874421333
145,4.4,99.84377728257459
146,4.5,99.34785549745875
147,4.6,98.83789152169247
148,4.7,98.31364149042943
149,4.8,97.77484879784524
150,4.9,97.22124328879003
151,5.0,96.65254037844386
